csv to json
http://www.convertcsv.com/csv-to-json.htm
Tick : Force Wrap numeric values in double quotes

background texture
https://www.heropatterns.com/

Date	Tarikh	Imsak	Subuh	Syuruk	Duha	Zuhur	Asar	Maghrib	Isya
1/4/2019	25 Rejab 1440	04.52	05.02	06.20	06.42	12.25	03.26	06.29	07.38
2/4/2019	26 Rejab 1440	04.52	05.02	06.19	06.41	12.25	03.25	06.29	07.38
3/4/2019	27 Rejab 1440	04.51	05.01	06.19	06.41	12.25	03.25	06.29	07.38
4/4/2019	28 Rejab 1440	04.51	05.01	06.18	06.41	12.25	03.25	06.29	07.38
5/4/2019	29 Rejab 1440	04.50	05.00	06.18	06.40	12.24	03.26	06.29	07.38
6/4/2019	30 Rejab 1440	04.50	05.00	06.17	06.40	12.24	03.26	06.28	07.38
7/4/2019	1 Sya'ban 1440	04.49	04.59	06.17	06.39	12.24	03.27	06.28	07.38
8/4/2019	2 Sya'ban 1440	04.49	04.59	06.17	06.39	12.23	03.27	06.28	07.38
9/4/2019	3 Sya'ban 1440	04.48	04.58	06.16	06.39	12.23	03.28	06.28	07.38
10/4/2019	4 Sya'ban 1440	04.48	04.58	06.16	06.38	12.23	03.28	06.28	07.38
11/4/2019	5 Sya'ban 1440	04.47	04.57	06.15	06.38	12.23	03.29	06.28	07.37
12/4/2019	6 Sya'ban 1440	04.47	04.57	06.15	06.37	12.22	03.29	06.28	07.37
13/4/2019	7 Sya'ban 1440	04.46	04.56	06.15	06.37	12.22	03.29	06.27	07.37
14/4/2019	8 Sya'ban 1440	04.46	04.56	06.14	06.37	12.22	03.30	06.27	07.37
15/4/2019	9 Sya'ban 1440	04.45	04.55	06.14	06.36	12.22	03.30	06.27	07.37
16/4/2019	10 Sya'ban 1440	04.45	04.55	06.13	06.36	12.21	03.31	06.27	07.37
17/4/2019	11 Sya'ban 1440	04.45	04.55	06.13	06.36	12.21	03.31	06.27	07.37
18/4/2019	12 Sya'ban 1440	04.44	04.54	06.13	06.35	12.21	03.31	06.27	07.37
19/4/2019	13 Sya'ban 1440	04.44	04.54	06.12	06.35	12.21	03.32	06.27	07.37
20/4/2019	14 Sya'ban 1440	04.43	04.53	06.12	06.35	12.20	03.32	06.27	07.37
21/4/2019	15 Sya'ban 1440	04.43	04.53	06.12	06.34	12.20	03.32	06.27	07.37
22/4/2019	16 Sya'ban 1440	04.42	04.52	06.11	06.34	12.20	03.33	06.27	07.37
23/4/2019	17 Sya'ban 1440	04.42	04.52	06.11	06.34	12.20	03.33	06.26	07.37
24/4/2019	18 Sya'ban 1440	04.41	04.51	06.11	06.33	12.20	03.33	06.26	07.37
25/4/2019	19 Sya'ban 1440	04.41	04.51	06.10	06.33	12.19	03.34	06.26	07.37
26/4/2019	20 Sya'ban 1440	04.41	04.51	06.10	06.33	12.19	03.34	06.26	07.37
27/4/2019	21 Sya'ban 1440	04.40	04.50	06.10	06.33	12.19	03.34	06.26	07.37
28/4/2019	22 Sya'ban 1440	04.40	04.50	06.10	06.32	12.19	03.34	06.26	07.38
29/4/2019	23 Sya'ban 1440	04.39	04.49	06.09	06.32	12.19	03.35	06.26	07.38
30/4/2019	24 Sya'ban 1440	04.39	04.49	06.09	06.32	12.19	03.35	06.26	07.38
